pack_id|prod_id|descr|pack|weight|volume|precision
2|61931|кор/12|12.0|0.0|0.0|
1|61932|шт/1|1.0|0.0|0.0|
2|61932|кор/12|12.0|0.0|0.0|
1|61933|шт/1|1.0|0.0|0.0|
2|61933|кор/12|12.0|0.0|0.0|
1|61934|шт/1|1.0|0.0|0.0|
2|61934|кор/12|12.0|0.0|0.0|
1|61935|шт/1|1.0|0.0|0.0|
2|61935|кор/12|12.0|0.0|0.0|
1|61936|шт/1|1.0|0.0|0.0|
2|61936|кор/12|12.0|0.0|0.0|
1|61937|шт/1|1.0|0.0|0.0|
2|61937|кор/12|12.0|0.0|0.0|
1|61938|шт/1|1.0|0.0|0.0|
2|61938|кор/72|72.0|0.0|0.0|
1|61939|шт/1|1.0|0.0|0.0|
2|61939|кор/72|72.0|0.0|0.0|
1|61940|шт/1|1.0|0.0|0.0|
2|61940|кор/20|20.0|0.0|0.0|
1|61941|шт/1|1.0|0.0|0.0|
2|61941|кор/20|20.0|0.0|0.0|
1|61942|шт/1|1.0|0.0|0.0|
2|61942|кор/20|20.0|0.0|0.0|
1|61943|шт/1|1.0|0.0|0.0|
2|61943|кор/20|20.0|0.0|0.0|
1|61944|шт/1|1.0|0.0|0.0|
2|61944|кор/24|24.0|0.0|0.0|
1|61945|шт/1|1.0|0.0|0.0|
1|61947|шт/1|1.0|0.0|0.0|
1|61948|шт/1|1.0|0.0|0.0|
2|61948|кор/8|8.0|0.0|0.0|
1|61949|шт/1|1.0|0.0|0.0|
2|61949|кор/8|8.0|0.0|0.0|
1|61950|шт/1|1.0|0.0|0.0|
1|61951|шт/1|1.0|0.0|0.0|
2|61951|кор/12|12.0|0.0|0.0|
1|61952|шт/1|1.0|0.0|0.0|
2|61952|кор/18|18.0|0.0|0.0|
1|61953|шт/1|1.0|0.0|0.0|
2|61953|кор/12|12.0|0.0|0.0|
1|61954|шт/1|1.0|0.0|0.0|
2|61954|кор/12|12.0|0.0|0.0|
1|61955|шт/1|1.0|0.0|0.0|
2|61955|кор/16|16.0|0.0|0.0|
1|61956|шт/1|1.0|0.0|0.0|
2|61956|кор/30|30.0|0.0|0.0|
1|61957|шт/1|1.0|0.0|0.0|
2|61957|кор/16|16.0|0.0|0.0|
1|61958|шт/1|1.0|0.0|0.0|
2|61958|кор/9|9.0|0.0|0.0|
1|61959|шт/1|1.0|0.0|0.0|
2|61959|кор/6|6.0|0.0|0.0|
1|61960|шт/1|1.0|0.0|0.0|
2|61960|кор/6|6.0|0.0|0.0|
1|61961|шт/1|1.0|0.0|0.0|
2|61961|кор/12|12.0|0.0|0.0|
1|61962|шт/1|1.0|0.0|0.0|
2|61962|кор/6|6.0|0.0|0.0|
1|61963|шт/1|1.0|0.0|0.0|
2|61963|кор/48|48.0|0.0|0.0|
1|61964|шт/1|1.0|0.0|0.0|
1|61965|шт/1|1.0|0.0|0.0|
1|61966|шт/1|1.0|0.0|0.0|
1|61967|шт/1|1.0|0.0|0.0|
1|61968|шт/1|1.0|0.0|0.0|
1|61969|шт/1|1.0|0.0|0.0|
2|61969|кор/60|60.0|0.0|0.0|
1|61970|шт/1|1.0|0.0|0.0|
1|61971|шт/1|1.0|0.0|0.0|
2|61971|кор/20|20.0|0.0|0.0|
1|61972|шт/1|1.0|0.0|0.0|
2|61972|кор/20|20.0|0.0|0.0|
1|61973|шт/1|1.0|0.0|0.0|
2|61973|кор/4|4.0|0.0|0.0|
1|61974|шт/1|1.0|0.0|0.0|
2|61974|кор/4|4.0|0.0|0.0|
1|61975|шт/1|1.0|0.0|0.0|
2|61975|кор/4|4.0|0.0|0.0|
1|61976|шт/1|1.0|0.0|0.0|
2|61976|кор/8|8.0|0.0|0.0|
1|61977|шт/1|1.0|0.0|0.0|
2|61977|кор/8|8.0|0.0|0.0|
1|61978|шт/1|1.0|0.0|0.0|
2|61978|кор/56|56.0|0.0|0.0|
3|61978|спайка/4|4.0|0.0|0.0|
1|61979|шт/1|1.0|0.0|0.0|
1|61980|шт/1|1.0|0.0|0.0|
1|61981|шт/1|1.0|0.0|0.0|
1|61982|шт/1|1.0|0.0|0.0|
2|61982|кор/48|48.0|0.0|0.0|
1|61983|шт/1|1.0|0.0|0.0|
2|61983|кор/6|6.0|0.0|0.0|
1|61984|шт/1|1.0|0.0|0.0|
2|61984|кор/24|24.0|0.0|0.0|
1|61985|шт/1|1.0|0.0|0.0|
2|61985|кор/96|96.0|0.0|0.0|
1|61986|шт/1|1.0|0.0|0.0|
2|61986|кор/2|2.0|0.0|0.0|
1|61987|шт/1|1.0|0.0|0.0|
2|61987|кор/64|64.0|0.0|0.0|
1|61988|шт/1|1.0|0.0|0.0|
2|61988|кор/64|64.0|0.0|0.0|
